Gene	Level_1	Level_2	Level_3	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YGR143w	5	52	500	-0.51452	-0.69195	-1.27744	-0.94034	-1.06453	-0.51452	0.99357	1.38389	2.00487	0.03548	-0.07097	-0.51452	-0.88711	-0.69195	0.42581	1.18873	1.1355
YKL129c	4	42	421	0.32385	-0.78405	-1.5681	-1.43175	-0.01704	0	0.28976	2.57373	0.76701	0.63065	0.03409	-1.07381	-1.1079	-0.05113	0.59656	0.44316	0.37498
YHR152w	4	43	431	-1.13878	-1.01612	-0.90047	-0.66917	-0.46941	-0.07339	1.1462	1.87865	0.71514	1.44409	0.24553	-0.97757	-1.06869	-0.87594	0.01422	0.48734	1.25835
YPR167C	1	12	122	-1.13289	-0.81416	-0.72684	-0.00642	1.49117	1.08948	-0.03262	-0.54346	-0.9888	-1.325	-0.95388	-0.63951	-0.14177	0.85371	1.22483	1.41258	1.23357
YAR018c	5	51	511	-0.51926	-0.87977	-0.91068	-0.75102	-0.66347	-0.75617	0.74254	2.40605	2.07129	0.34082	0.10906	-0.29265	-0.48836	-0.92098	-0.27205	0.04726	0.73739
YAL022c	5	53	531	-1.0598	-1.09261	-0.60048	-1.24259	-1.26602	-1.30821	0.86184	1.03057	0.79154	1.0587	0.2338	-0.26771	-0.6286	-0.07554	0.90871	1.20399	1.4524
YGL201c	2	24	241	-0.97243	0.59023	-0.47896	-1.24658	-1.54815	-0.86277	0.69989	1.65942	1.41269	1.41269	0.48057	0.09676	-1.274	-0.47896	-0.28705	0.23383	0.56282
YCL038c	4	41	411	-0.5898	-0.97933	-1.25344	-0.56095	-0.76292	-0.04158	0.99715	1.60308	1.7762	1.50209	0.0594	-0.38783	-0.33012	-1.61411	0.26138	-0.20028	0.52106
YKR021w	5	52	500	-0.21421	-0.5387	-0.46659	-0.82714	-1.1276	0.32662	1.67267	2.11735	1.24001	-0.51467	-1.66843	-0.63485	-0.41852	-0.32237	0.1824	0.80735	0.38671
YLR190w	5	52	526	-0.99469	-1.29062	-0.87058	-1.07424	-0.36781	0.04268	1.8342	2.04104	0.93367	-0.03369	-0.42509	-0.81649	-0.60647	-0.38691	0.34816	0.73956	0.9273
